concept_index,concept_name,layer_index,layer_name,cav_sensitivity,training_step
0,avo_above_agent,0,conv2d,0.0050000000000000044,100
1,avo_right_of_agent,0,conv2d,0.0050000000000000044,100
2,avo_below_agent,0,conv2d,0.0,100
3,avo_left_of_agent,0,conv2d,0.020000000000000018,100
4,random_observation,0,conv2d,0.0,100
5,enemy_close_to_agent,0,conv2d,0.030000000000000027,100
6,avocado_visible,0,conv2d,0.0,100
7,agent_close_to_avocado,0,conv2d,0.007499999999999951,100
8,enemy_within_3_left,0,conv2d,0.0,100
9,enemy_within_3_right,0,conv2d,0.007499999999999951,100
10,enemy_within_3_up,0,conv2d,0.025000000000000022,100
11,enemy_within_3_down,0,conv2d,0.012499999999999956,100
12,enemy_2_steps_left,0,conv2d,0.0,100
13,enemy_2_steps_right,0,conv2d,0.010000000000000009,100
14,enemy_2_steps_up,0,conv2d,0.0,100
15,enemy_2_steps_down,0,conv2d,0.0,100
16,enemy_1_step_left,0,conv2d,0.0,100
17,enemy_1_step_right,0,conv2d,0.0050000000000000044,100
18,enemy_1_step_up,0,conv2d,0.0,100
19,enemy_1_step_down,0,conv2d,0.04249999999999998,100
20,agent_against_left_wall,0,conv2d,0.22499999999999998,100
21,agent_against_right_wall,0,conv2d,0.1775,100
22,agent_against_upper_wall,0,conv2d,0.08999999999999997,100
23,agent_against_bottom_wall,0,conv2d,0.1775,100
0,avo_above_agent,1,conv2d_1,0.0,100
1,avo_right_of_agent,1,conv2d_1,0.0,100
2,avo_below_agent,1,conv2d_1,0.0,100
3,avo_left_of_agent,1,conv2d_1,0.022499999999999964,100
4,random_observation,1,conv2d_1,0.0024999999999999467,100
5,enemy_close_to_agent,1,conv2d_1,0.0,100
6,avocado_visible,1,conv2d_1,0.0024999999999999467,100
7,agent_close_to_avocado,1,conv2d_1,0.0,100
8,enemy_within_3_left,1,conv2d_1,0.0,100
9,enemy_within_3_right,1,conv2d_1,0.0,100
10,enemy_within_3_up,1,conv2d_1,0.01749999999999996,100
11,enemy_within_3_down,1,conv2d_1,0.0,100
12,enemy_2_steps_left,1,conv2d_1,0.025000000000000022,100
13,enemy_2_steps_right,1,conv2d_1,0.030000000000000027,100
14,enemy_2_steps_up,1,conv2d_1,0.0,100
15,enemy_2_steps_down,1,conv2d_1,0.02749999999999997,100
16,enemy_1_step_left,1,conv2d_1,0.007499999999999951,100
17,enemy_1_step_right,1,conv2d_1,0.0,100
18,enemy_1_step_up,1,conv2d_1,0.0,100
19,enemy_1_step_down,1,conv2d_1,0.0,100
20,agent_against_left_wall,1,conv2d_1,0.15749999999999997,100
21,agent_against_right_wall,1,conv2d_1,0.17000000000000004,100
22,agent_against_upper_wall,1,conv2d_1,0.03749999999999998,100
23,agent_against_bottom_wall,1,conv2d_1,0.11750000000000005,100
0,avo_above_agent,2,flatten,0.0,100
1,avo_right_of_agent,2,flatten,0.0,100
2,avo_below_agent,2,flatten,0.0,100
3,avo_left_of_agent,2,flatten,0.0,100
4,random_observation,2,flatten,0.0050000000000000044,100
5,enemy_close_to_agent,2,flatten,0.0,100
6,avocado_visible,2,flatten,0.0,100
7,agent_close_to_avocado,2,flatten,0.0,100
8,enemy_within_3_left,2,flatten,0.0,100
9,enemy_within_3_right,2,flatten,0.0,100
10,enemy_within_3_up,2,flatten,0.030000000000000027,100
11,enemy_within_3_down,2,flatten,0.0,100
12,enemy_2_steps_left,2,flatten,0.0,100
13,enemy_2_steps_right,2,flatten,0.0,100
14,enemy_2_steps_up,2,flatten,0.0,100
15,enemy_2_steps_down,2,flatten,0.05249999999999999,100
16,enemy_1_step_left,2,flatten,0.0,100
17,enemy_1_step_right,2,flatten,0.0,100
18,enemy_1_step_up,2,flatten,0.0,100
19,enemy_1_step_down,2,flatten,0.03500000000000003,100
20,agent_against_left_wall,2,flatten,0.12,100
21,agent_against_right_wall,2,flatten,0.16000000000000003,100
22,agent_against_upper_wall,2,flatten,0.10499999999999998,100
23,agent_against_bottom_wall,2,flatten,0.08250000000000002,100
0,avo_above_agent,3,dense,0.0,100
1,avo_right_of_agent,3,dense,0.0,100
2,avo_below_agent,3,dense,0.0,100
3,avo_left_of_agent,3,dense,0.0,100
4,random_observation,3,dense,0.0,100
5,enemy_close_to_agent,3,dense,0.0,100
6,avocado_visible,3,dense,0.0,100
7,agent_close_to_avocado,3,dense,0.0,100
8,enemy_within_3_left,3,dense,0.0,100
9,enemy_within_3_right,3,dense,0.0,100
10,enemy_within_3_up,3,dense,0.0,100
11,enemy_within_3_down,3,dense,0.0,100
12,enemy_2_steps_left,3,dense,0.0,100
13,enemy_2_steps_right,3,dense,0.0,100
14,enemy_2_steps_up,3,dense,0.0,100
15,enemy_2_steps_down,3,dense,0.0,100
16,enemy_1_step_left,3,dense,0.0,100
17,enemy_1_step_right,3,dense,0.0,100
18,enemy_1_step_up,3,dense,0.0,100
19,enemy_1_step_down,3,dense,0.0,100
20,agent_against_left_wall,3,dense,0.0,100
21,agent_against_right_wall,3,dense,0.0,100
22,agent_against_upper_wall,3,dense,0.0,100
23,agent_against_bottom_wall,3,dense,0.0,100
0,avo_above_agent,4,dense_1,0.0,100
1,avo_right_of_agent,4,dense_1,0.0,100
2,avo_below_agent,4,dense_1,0.0,100
3,avo_left_of_agent,4,dense_1,0.020000000000000018,100
4,random_observation,4,dense_1,0.0,100
5,enemy_close_to_agent,4,dense_1,0.0,100
6,avocado_visible,4,dense_1,0.0,100
7,agent_close_to_avocado,4,dense_1,0.0,100
8,enemy_within_3_left,4,dense_1,0.0,100
9,enemy_within_3_right,4,dense_1,0.0,100
10,enemy_within_3_up,4,dense_1,0.0050000000000000044,100
11,enemy_within_3_down,4,dense_1,0.0,100
12,enemy_2_steps_left,4,dense_1,0.0,100
13,enemy_2_steps_right,4,dense_1,0.0,100
14,enemy_2_steps_up,4,dense_1,0.0,100
15,enemy_2_steps_down,4,dense_1,0.0,100
16,enemy_1_step_left,4,dense_1,0.0,100
17,enemy_1_step_right,4,dense_1,0.0,100
18,enemy_1_step_up,4,dense_1,0.0,100
19,enemy_1_step_down,4,dense_1,0.0,100
20,agent_against_left_wall,4,dense_1,0.0,100
21,agent_against_right_wall,4,dense_1,0.0,100
22,agent_against_upper_wall,4,dense_1,0.07250000000000001,100
23,agent_against_bottom_wall,4,dense_1,0.0,100
0,avo_above_agent,0,conv2d,0.015000000000000013,40000
1,avo_right_of_agent,0,conv2d,0.022499999999999964,40000
2,avo_below_agent,0,conv2d,0.022499999999999964,40000
3,avo_left_of_agent,0,conv2d,0.0,40000
4,random_observation,0,conv2d,0.0,40000
5,enemy_close_to_agent,0,conv2d,0.0,40000
6,avocado_visible,0,conv2d,0.007499999999999951,40000
7,agent_close_to_avocado,0,conv2d,0.015000000000000013,40000
8,enemy_within_3_left,0,conv2d,0.0050000000000000044,40000
9,enemy_within_3_right,0,conv2d,0.0,40000
10,enemy_within_3_up,0,conv2d,0.007499999999999951,40000
11,enemy_within_3_down,0,conv2d,0.0,40000
12,enemy_2_steps_left,0,conv2d,0.0,40000
13,enemy_2_steps_right,0,conv2d,0.0050000000000000044,40000
14,enemy_2_steps_up,0,conv2d,0.030000000000000027,40000
15,enemy_2_steps_down,0,conv2d,0.010000000000000009,40000
16,enemy_1_step_left,0,conv2d,0.03249999999999997,40000
17,enemy_1_step_right,0,conv2d,0.0,40000
18,enemy_1_step_up,0,conv2d,0.0,40000
19,enemy_1_step_down,0,conv2d,0.04249999999999998,40000
20,agent_against_left_wall,0,conv2d,0.22250000000000003,40000
21,agent_against_right_wall,0,conv2d,0.29500000000000004,40000
22,agent_against_upper_wall,0,conv2d,0.15249999999999997,40000
23,agent_against_bottom_wall,0,conv2d,0.15500000000000003,40000
0,avo_above_agent,1,conv2d_1,0.0625,40000
1,avo_right_of_agent,1,conv2d_1,0.0,40000
2,avo_below_agent,1,conv2d_1,0.0625,40000
3,avo_left_of_agent,1,conv2d_1,0.0,40000
4,random_observation,1,conv2d_1,0.0050000000000000044,40000
5,enemy_close_to_agent,1,conv2d_1,0.0050000000000000044,40000
6,avocado_visible,1,conv2d_1,0.0,40000
7,agent_close_to_avocado,1,conv2d_1,0.03249999999999997,40000
8,enemy_within_3_left,1,conv2d_1,0.015000000000000013,40000
9,enemy_within_3_right,1,conv2d_1,0.020000000000000018,40000
10,enemy_within_3_up,1,conv2d_1,0.0024999999999999467,40000
11,enemy_within_3_down,1,conv2d_1,0.025000000000000022,40000
12,enemy_2_steps_left,1,conv2d_1,0.012499999999999956,40000
13,enemy_2_steps_right,1,conv2d_1,0.02749999999999997,40000
