concept_index,concept_name,layer_index,layer_name,classifier_accuracy
0,avo_above_agent,0,conv2d,0.855
1,avo_right_of_agent,0,conv2d,0.8075
2,avo_below_agent,0,conv2d,0.795
3,avo_left_of_agent,0,conv2d,0.8075
0,avo_above_agent,1,conv2d_1,0.86
1,avo_right_of_agent,1,conv2d_1,0.8375
2,avo_below_agent,1,conv2d_1,0.8275
3,avo_left_of_agent,1,conv2d_1,0.8575
0,avo_above_agent,2,flatten,0.86
1,avo_right_of_agent,2,flatten,0.8375
2,avo_below_agent,2,flatten,0.8275
3,avo_left_of_agent,2,flatten,0.8575
0,avo_above_agent,3,dense,0.8025
1,avo_right_of_agent,3,dense,0.8275
2,avo_below_agent,3,dense,0.805
3,avo_left_of_agent,3,dense,0.855
0,avo_above_agent,4,dense_1,0.74
1,avo_right_of_agent,4,dense_1,0.7825
2,avo_below_agent,4,dense_1,0.7325
3,avo_left_of_agent,4,dense_1,0.8075
